title,author,預購專案,群眾募資,音樂,攝影,出版,時尚,設計,表演,藝術,科技,教育,遊戲,飲食,空間,社會,插畫漫畫,電影動畫,地方創生,挺好店,新春賀喜,money,time_left,image,video,sponsor_num,target,duration,comment_num,QA_num,website,yt,fb,ig,set_num,set_price
英國 SmoothSkin 居家脫毛儀－真正不限發數、全球超過 250 萬人好評！,台灣慕金,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10854702,success,29,2,928,300000,14340,14,,0,0,0,0,7,"[12500, 8500, 13600, 60500, 40500, 24500, 12500]"
最小最輕的快速充電頭 - 20W PD 氮化鎵快速充電｜GTC,Glass Technology,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23080,success,34,2,33,15000,14340,2,,0,0,0,0,12,"[530, 690, 450, 450, 950, 1100, 1800, 2100, 3400, 4000, 8260, 9660]"
FIVE智慧廚具滅菌機台灣版 | 連入米家，高效滅菌,第五元素智能廚具,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,448955,success,42,1,267,100000,14340,20,6.0,0,0,1,0,4,"[1695, 1795, 7975, 1595]"
MEEKEE｜小嵐立式美髮吹風機，紅遍亞洲的新式吹風機！從此吹頭髮不費力！,覓奇生活 meekee,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,834740,success,36,5,238,100000,14340,1,2.0,0,0,1,0,6,"[3480, 6940, 16500, 3680, 3380, 6750]"
【Roidmi 睿米｜無線掃拖機器人 Eve Plus】吸塵拖地一次完成！挑戰市場最高CP值！大容量全自動集塵站！,匯聚科技總代理,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4708696,success,57,4,385,500000,14340,7,12.0,0,0,0,0,12,"[18880, 13990, 27760, 595, 499, 13880, 13880, 975, 890, 599, 495, 565]"
Hello Kitty AI 閱讀機│孩子最好的陪讀玩伴，家長最棒的育兒幫手,人類文化,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,258720,success,41,3,74,100000,14340,0,6.0,1,1,1,1,10,"[3590, 2580, 7080, 5080, 17450, 12500, 12500, 1720, 780, 1280]"
日本熱銷。姿勢キープチューブ【無限帶∞健身防駝帶】-不侷限想像的健身防駝帶,takue,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73591,success,34,1,125,30000,14340,0,5.0,1,0,1,1,6,"[499, 960, 588, 1099, 399, 760]"
[ Petit Qoobo ｜療癒系寵物抱枕 ] 來自日本的互動科技，承接你所有的喜怒哀樂，短短尾巴療癒你的心,peini陪你,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84420,success,51,2,25,50000,14340,1,13.0,1,0,1,1,5,"[2990, 3280, 7980, 6360, 12320]"
Prinker-【永不後悔】的刺青 | 全球首創 DIY 攜帶式紋身機！,Creative TW,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,117786,success,72,8,11,50000,14340,0,47.0,0,0,0,0,8,"[12699, 8699, 12999, 8899, 4399, 3299, 17349, 24999]"
Anvi Original 隨行快取卡夾包｜高效率收納，極致超薄｜長夾短夾雙款一次登場，加碼解鎖限定款,Anvi Original ,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,296311,success,123,2,339,20000,14340,7,8.0,1,1,1,1,18,"[3150, 1400, 3150, 4500, 450, 830, 850, 1280, 1590, 2440, 1250, 2380, 4120, 8100, 12000, 1130, 390, 760]"
902 UNDERDOG 逆襲犬の進擊,Bryant H.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30181,success,22,1,33,30000,14340,0,10.0,1,0,1,1,5,"[450, 799, 899, 1198, 1497]"
【澳氏咖啡 Aussie Cafe】澳洲萊明頓蛋糕 Lamington | 誰說不能出門 | 就不能享受美味,澳氏咖啡,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47441,success,16,0,81,5000,14340,1,,1,0,1,1,10,"[870, 350, 980, 480, 820, 400, 800, 480, 820, 640]"
VH-80SE 雙向雷射測距儀 | 三秒量完長寬高，效率瞬間 level up,Magpie Taiwan,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1823581,success,46,1,357,100000,14340,15,4.0,0,0,0,0,8,"[8190, 4590, 14980, 4390, 4190, 7990, 3990, 7790]"
\ 𝗠𝗢𝗭𝗧𝗘𝗖𝗛®變變燈 / 租屋必備 | 百變多功能支架 | LED無線感應燈 | 超多功能等你一起解鎖,MOZTECH 墨子科技,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1054570,success,40,1,560,60000,14340,13,5.0,0,0,1,1,8,"[1580, 1680, 3100, 5920, 1480, 1680, 3100, 5920]"
德國百年工藝Trendglas JENA玻璃水壺 l 全球唯一!商業菁英到時尚美眉都愛用的玻璃水壺,英橋嚴選,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23260,success,22,2,11,10000,14340,0,4.0,0,1,1,0,10,"[1940, 1200, 900, 5640, 1280, 980, 1940, 1200, 900, 5640]"
【我有！WuYo雙生機能外套】打破機能既定印象，反滲透抗水技術｜好看，也要好機能！,In Heart,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998220,success,50,1,396,100000,14340,9,,0,0,1,0,7,"[1980, 3760, 10680, 2180, 1980, 10680, 3760]"
小狗 T12 - 3 in 1 吸塵器+擦地機+除蟎機｜旗艦級吸力、超高 CP 值首選、一機抵三台！,Puppyoo TW,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,567712,success,46,3,56,100000,14340,2,9.0,0,0,1,0,3,"[12380, 399, 13380]"
【迦南海陸牛肉麵｜全台唯一海陸痛風牛肉麵】來自嘉義布袋的新鮮海味，滿滿的份量是我們海港人的豪邁！,迦南海陸牛肉麵,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24120,success,13,2,25,5000,14340,0,8.0,1,1,1,0,4,"[768, 898, 1488, 1688]"
客噐．客氣【兩怡品飲杯｜夜曜濾杯】兼具美感與實用，品飲風味新體驗，手沖器品再進化,客噐客氣,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,918500,success,68,9,668,100000,14340,8,6.0,0,0,1,0,24,"[1690, 690, 1585, 1088, 1480, 1720, 2220, 660, 510, 1270, 980, 6670, 2360, 650, 198, 1380, 1946, 5421, 1160, 464, 600, 1879, 1523, 1305]"
閱讀島中央．週三讀書會｜現場與線上講座同步啟動,財團法人上善人文基金會中央書局,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1465701,success,28,0,331,100000,14340,0,2.0,0,0,1,0,9,"[1800, 5400, 1200, 1200, 1200, 1200, 7500, 5000, 1200]"
原鄉森林裡的山嵐湯泉 | 馥森 阪治Trio贊助計劃,馥森 阪治Trio,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,593902,success,23,1,171,100000,14340,0,6.0,0,1,1,1,5,"[10500, 6200, 3100, 1800, 1800]"
〘 Poputar T1 〙最適合初心者的智慧吉他,PopuMusic 台灣,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17319471,success,89,1,2798,100000,14340,107,12.0,1,0,1,0,12,"[6890, 6890, 8380, 8380, 6990, 6790, 6790, 1490, 1490, 6990, 6790, 6600]"
【髮肌因Scalp Recovery潔手慕斯】最有溫度的中秋禮盒｜保養品等級的洗手慕斯，有效清潔同時也療癒你的心,髮基因,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35990,success,25,2,22,30000,14340,0,11.0,0,1,1,1,6,"[925, 1798, 990, 1950, 4800, 9250]"
海熊咖啡｜環保意識 X 咖啡文化改革計畫｜真正為地球付出的熊,海熊咖啡,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23040,success,9,1,17,5000,14340,0,,1,0,1,1,5,"[540, 720, 1280, 3200, 6400]"
BT-30 隱藏式 藍牙耳機 安全帽 無外主機 無重量 完全防水,梁家維,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,203908,success,10,2,172,29000,14340,2,,0,0,0,0,3,"[880, 988, 1650]"
